Location,Number of Strikes
Miram Shah,16
Danda Darpakhel,14
Khushali,12
Mohammad Khel,12
Shawal NWA,10
Darnashtra,9
Azam Warsak,8
Datta Khel,8
Deegan,8
Ghulam Khan,7
Machi Khel,7
Norak,7
Darga Mandi,6
Shaktoi,6
Ganki Khel,5
Haider Khel,5
Hisokhel,5
Kari Kot,5
Khaisoori,5
Ladha,5
Makeen,5
Mosaki,5
Sanzali,5
Sararogha,5
Spinwan,5
Tapi Tool,5
Babar Ghar,4
Baghar Cheena,4
Damadola,4
Hurmuz,4
Inzarkas,4
Isha Check Point,4
Machis,4
Mizar Madakhel,4
Pai Khel,4
Qutab Khel,4
Spalaga,4
Tabbi,4
Asori,3
Barmal,3
Boya,3
Doga Mada Khel,3
Ghundikala,3
Gurwak,3
Ismail Khel,3
Jani Khel,3
Khadar Khel,3
Khar Qamar,3
Maizer,3
Murbarak Shahi,3
Newey Adda,3
Tirah Valley,3
Ali Khel,2
Ambar Shaga,2
Aziz Khel,2
Bhaggar,2
Char Khel,2
Chashma,2
Darpa Khel,2
Dhook Pir Bagh,2
Garyom,2
Ghwa Khwa,2
Hamzoni,2
Kaniguram,2
Khadezai,2
Khaso Khel,2
Lawra Mandi,2
Mandi Khel,2
Mantoi,2
Sara Khwara,2
Sheerani,2
Shin Warsak,2
Speen Drang,2
Taparghai,2
Tappi,2
Wana,2
Zari Noor,2
Zeraki,2
Zoynari,2
Ahmad Khel,1
Aimarki,1
Badshah Kot,1
Baggan,1
Barjo,1
Bobar,1
Bushnarai,1
Darazinda,1
Dashgah,1
Dwa Tooe,1
Dwasarak,1
Ghar Laley,1
Ghoroski,1
Karez,1
Kateera,1
Khaddi,1
Khand Morsak,1
Khardand,1
Kumsham,1
Landidog,1
Madin Village,1
Mami Rogha,1
Mandata,1
Mir Ali,1
Mizai Nari,1
Nargassai,1
Narsi Khel,1
Painda Khel,1
Palgai,1
Pir Keley,1
Razmak,1
Saidgai,1
Sandasa Village,1
Sarwaiki Tehsil,1
Shahidano,1
Shalam Raghzai,1
Shera Tala,1
Sokhel,1
Taaloo Ganj,1
Thal,1
Tol Khel,1
Toor Narai,1
Toorikhel,1
Wacha Dana,1
Zanani,1
Zangar Khel,1
Zeba Pahar,1
Zeralita,1
